diagram,gate_index,qubits,theta,phi,lambda
"[5, 4, 1, 1]",0,[0],0.5421849438642796,3.1415926585899587,-3.82829878908808e-09
"[5, 4, 1, 1]",1,[1],0.14031165147277733,3.1415926500912636,3.1415926544373445
"[5, 4, 1, 1]",3,[0],1.1882991162191987,3.1415924811581,0.0
"[5, 4, 1, 1]",4,[1],1.9444655203156047,-3.1415926542262342,-1.7435135557519743e-09
"[5, 4, 1, 1]",6,[0],0.025986893727806097,-3.1415924817670997,3.1415926535897936
"[5, 4, 1, 1]",7,[1],2.22272981674008,3.1415926516022576,3.1415926503139477
"[5, 3, 1, 1, 1]",0,[0],2.5299772143048505,5.109793699276111e-09,-3.1415926500373574
"[5, 3, 1, 1, 1]",1,[1],2.7545542161999026,6.28318530336925,-1.7859820289345407e-09
"[5, 3, 1, 1, 1]",3,[0],2.1252546070879386,-3.3579034069739053e-07,-2.6469779601696886e-23
"[5, 3, 1, 1, 1]",4,[1],2.016277683534581,-3.141592652048702,-3.141592650013281
"[5, 3, 1, 1, 1]",6,[0],0.014075839904948368,3.3647099902086366e-07,0.0
"[5, 3, 1, 1, 1]",7,[1],2.3807333081404427,3.141592657689349,-3.1415926479293286
"[5, 2, 2, 1, 1]",0,[0],2.182411751986573,-3.1415926550585547,-3.1415926324556938
"[5, 2, 2, 1, 1]",1,[1],2.552169258538182,-1.844141663888438e-08,1.477904397444784e-11
"[5, 2, 2, 1, 1]",3,[0],1.897476502794027,1.3692560845157686e-06,3.141592653589793
"[5, 2, 2, 1, 1]",4,[1],1.1253149613673816,-1.68025977565828e-08,3.899488835929249e-08
"[5, 2, 2, 1, 1]",6,[0],0.014075845603672232,-3.141594019998977,0.0
"[5, 2, 2, 1, 1]",7,[1],0.5985499882151466,6.209897263076414e-08,6.283185232013199
"[5, 2, 1, 1, 1, 1]",0,[0],0.7894385070885691,3.141592694628816,-7.590268791268784e-08
"[5, 2, 1, 1, 1, 1]",1,[1],2.4988561829683453,3.141592699909777,-7.048775785278849e-09
"[5, 2, 1, 1, 1, 1]",3,[0],2.104652952440143,8.957846246993029e-07,3.141592653589793
"[5, 2, 1, 1, 1, 1]",4,[1],1.076550415658999,-4.171489464965816e-08,-6.283185219241742
"[5, 2, 1, 1, 1, 1]",6,[0],3.0853641183342693,9.045723054412548e-07,-5.293955920339377e-23
"[5, 2, 1, 1, 1, 1]",7,[1],0.5842812952718424,-1.4346526056030484e-07,3.141592825588064
"[4, 4, 2, 1]",0,[0],0.8369849967809162,-2.143931927686746e-10,3.3441032608856016e-10
"[4, 4, 2, 1]",1,[1],0.1434864274554289,-1.3163432566187794e-09,3.141592655990249
"[4, 4, 2, 1]",3,[0],1.848406396732944,1.2900975687735183e-07,-3.141592653589793
"[4, 4, 2, 1]",4,[1],2.16389920282348,3.141592654372544,-3.141592652189365
"[4, 4, 2, 1]",6,[0],3.121794520210218,-3.141592523858946,-3.1415926535897936
"[4, 4, 2, 1]",7,[1],0.7447888424746557,1.950291483865385e-09,-3.141592656242417
"[4, 3, 3, 1]",0,[0],3.9269908170292513,4.894462830198483,-3.499717662447759e-08
"[4, 3, 3, 1]",1,[1],9.548386336984874,0.27448999053780604,-2.8650978128535205
"[4, 3, 3, 1]",3,[0],1.6889219798378818,3.141592652992897,1.3887224472704045
"[4, 3, 3, 1]",4,[1],11.270354412908722,9.621561885150308,5.745930520419958
"[4, 3, 3, 1]",6,[1],-7.1808521371811755,-3.807740136486161,3.5972262708803813
"[4, 3, 2, 2]",0,[0],2.407781321283528,3.1415926537063665,-3.141592653437433
"[4, 3, 2, 2]",1,[1],2.8612480648324317,6.283185307019327,-1.0832179597741742e-10
"[4, 3, 2, 2]",3,[0],1.7087532786667075,1.7976078403592055e-09,3.141592653589793
"[4, 3, 2, 2]",4,[1],2.1638992025366868,8.240208515530867e-11,3.14159265373722
"[4, 3, 2, 2]",6,[0],0.019798133404659548,3.1415926517919432,0.0
"[4, 3, 2, 2]",7,[1],2.3551602104964338,-3.1415926534272405,2.3012236560759902e-10
"[4, 3, 1, 1, 1, 1]",0,[0],2.5022656158465293,3.1415926535635466,-3.1415926535454872
"[4, 3, 1, 1, 1, 1]",1,[1],0.3264421715945185,3.1415926545099335,3.141592652601675
